rowid,match_id,hunter,bounty,hunter_time,bounty_time,winner_is_hunter
154,f021822d-8a3c-432b-9791-3582d482e384,7506,7580,564,186,0
155,28ad7d92-3990-4891-8fb6-71781e6700f4,3518,7553,629,530,0
156,74d9589d-459c-4e3c-a7d0-e06dce69a679,4814,6153,1303,709,0
157,08fb9090-6abf-4084-87c3-ae12e9af14b6,0339,5222,312,114,0
158,a745c1ce-02fe-420a-b319-6298d9393c5d,9554,4665,427,259,0
159,5b47ddd3-289f-4a88-9a4a-48c5798010f8,7506,7580,850,245,0
160,bf5987f4-545c-4296-9cca-c5b5e78f9637,0339,5222,141,27,0
161,a6eac29a-27ca-4f71-b8f3-0421d83f4735,4540,6153,193,978,1
162,9af5ba05-b9a3-4878-abcc-e8c38fcc2421,4789,1239,280,447,1
163,5e24d56a-29ca-4f6f-bfbe-a0c1519a471a,3415,2047,162,461,1
164,28bb3b5f-4876-4af1-8c4a-6ab0e681c605,4540,8035,322,443,1
165,fe90e209-5f77-4792-a4d7-9b2f21480e23,0171,9246,370,603,1
166,175b2e92-3c2c-4b22-9c06-8ffbe015c7e0,4814,6170,1060,587,0
167,e0dab3ba-173f-4830-bd82-5148d00dac2c,3578,6127,692,457,0
168,e0da4067-173f-4e7f-bd82-dec6d00ddccb,6832,6364,418,708,1
169,73e105a7-7a09-40ea-876e-ad72a7618e9a,8606,5222,451,168,0
170,0a3e3bab-5b8e-4850-8157-f761a2e49836,4540,0362,73,423,1
171,9045b6b4-61dd-48ef-8f13-c9239f0946a1,0171,5222,106,944,1
172,74d96c81-459c-4a78-a7d0-f446ce6981e5,9428,6040,1177,423,0
173,8490d41c-8fba-4e27-8009-0271bfa70e35,4540,9246,286,106,0
174,6f9c9494-6818-42ea-8555-189031fd2098,3518,4302,417,81,0
175,d00821bb-1f8b-435d-b74d-a8efb3b3420a,3415,3058,43,331,1
176,165d9c60-0c26-49d3-b969-ec11f8d87d8c,3415,3714,55,437,1
177,0083761d-7c1a-4013-9970-8b9cfbf2cf7a,4540,7580,916,216,0
178,74d99395-459c-45b8-a7d0-80bece69c02b,3578,7580,491,233,0
179,ccedb32c-4087-4e46-976d-b30e64a0b949,3415,5222,74,351,1
180,175b9224-3c2c-4d61-9c06-7d0ce015343d,3578,8035,383,724,1
181,06ffad37-44b4-4b94-8636-66c9ceb7c986,3518,1194,953,1183,1
182,88511f6f-a3ef-4895-9045-0cf13aef178f,7428,9246,148,242,1
183,175b8bc2-3c2c-417b-9c06-86ffe0159b6d,3583,4842,341,486,1
184,e61a86f5-c8c8-412c-a106-ed3aa7130cf0,8606,9937,398,410,1
185,48cebf6b-6de0-4c51-ad76-efe73faf6fe2,8606,8842,368,711,1
186,c8cb3236-c066-4a74-98f5-810a7dc6e60e,4321,7322,345,618,1
187,47792d1a-d0a1-4561-9abd-fc507f1e9c4b,4321,9090,333,591,1
188,48364b50-05f6-4818-954c-fbb6227ba076,4321,4665,218,275,1
189,4c72ef1f-d521-4c8d-8f53-e966bcbc0483,4540,5222,110,966,1
190,679c8e92-4154-470f-9954-9b4098f8d43a,8606,3058,380,631,1
191,4f245a49-38ab-4c07-b5d2-5ef2a2f02d31,3578,6153,779,402,0
192,6c494f90-2b4a-4686-87c4-7129cfbfda6c,3415,1842,127,444,1
193,1cf5edae-81bd-4283-8c12-7b9cde39bb7c,3671,9653,989,2758,1
194,b31717ed-0feb-42b7-91a6-8d111423f401,0312,3714,385,798,1
195,1cbb5ad1-587b-4bd5-92be-05707b2bdebb,3415,4620,58,92,1
196,c0d59642-9cd7-48e3-a5e5-8af9ce3544f3,3518,9448,393,779,1
197,47794577-d0a1-42be-9abd-1b4d7f1eb179,0312,1842,420,485,1
198,f7f63b1b-7a1a-4068-bcc4-0c3d617ca539,8606,3714,449,682,1
199,2da48892-0e11-465c-98ae-c41f8fed439d,0339,4842,16,359,1
200,4c321b05-656f-4f57-ab88-4e13847a929d,3415,8901,142,434,1
201,540dceb7-7ecf-4b02-b6b6-48e3666e9d6a,4321,1842,1240,483,0
202,d67ec724-4fd3-4b13-8d35-5d6440226524,4321,3058,132,1464,1
203,f021c48a-8a3c-47a7-9791-134ed482bd61,3823,0431,440,983,1
204,8ff472e7-e240-4ddb-b58f-0e1a556679fb,8606,7322,313,993,1
